,Predicciones Venta
0,113.247345
1,112.43423
2,111.76381
3,111.26923
4,114.415085
5,113.9631
6,113.557655
7,112.986496
8,112.61797
9,112.40331
10,139.64677
11,151.29701
12,150.5014
13,153.03333
14,151.9736
15,149.23183
16,149.5885
17,150.0058
18,151.0614
19,152.2415
20,154.72688
21,154.20691
22,151.63255
23,152.0569
24,152.54631
25,153.62698
26,154.83284
27,174.14
28,185.89996
29,189.49265
30,191.3052
31,191.97786
32,193.25397
33,192.2674
34,192.12434
35,191.8987
36,190.41722
37,191.13315
38,189.51857
39,186.82196
40,185.9587
41,187.45288
42,189.25961
43,191.22346
44,193.08344
45,193.08585
46,190.69061
47,190.3013
48,192.22772
49,194.24104
50,205.5449
51,206.50949
52,207.98976
53,211.40729
54,207.63515
55,206.61732
56,207.65387
57,208.67271
58,209.81418
59,214.23526
60,211.48697
61,209.98161
62,210.35701
63,211.05353
64,211.9331
65,165.88925
66,148.69604
67,146.13252
68,144.7345
69,143.96483
70,141.89055
71,142.9324
72,143.53603
73,144.62477
74,145.67659
75,147.56781
76,147.47852
77,146.27316
78,147.26093
79,147.99849
80,149.13412
81,175.88336
82,190.64561
83,194.97723
84,197.24333
85,194.64803
86,193.66078
87,194.93121
88,196.43484
89,198.11295
90,199.69247
91,201.39154
92,198.49109
93,197.27304
94,198.2244
95,199.49911
96,200.95003
97,202.33087
98,164.4775
99,148.02597
100,145.9814
101,144.72694
102,144.00226
103,141.93657
104,142.97688
105,143.57861
106,144.66547
107,145.71608
108,147.25218
109,146.71364
110,145.24246
111,146.2481
112,146.92366
113,148.02632
114,149.1178
115,149.26807
116,145.4676
117,145.1645
118,145.31854
119,145.12312
120,142.97551
121,144.27428
122,144.90709
123,146.14334
124,147.29373
125,148.4855
126,148.29832
127,146.51169
128,147.71979
129,148.43846
130,149.67557
131,150.86134
132,135.34692
133,125.52506
134,123.92629
135,127.906906
136,129.51976
137,125.58208
138,125.390945
139,124.526825
140,124.49436
141,124.54606
142,129.93808
143,131.4764
144,127.99053
145,127.82551
146,127.111465
147,127.15887
148,127.30346
149,160.91762
150,181.8548
151,186.94904
152,187.89491
153,185.90752
154,185.37775
155,187.00589
156,188.83012
157,190.8103
158,192.68658
159,192.58904
160,190.22282
161,189.3879
162,190.68872
163,192.27649
164,194.02605
165,195.70123
166,165.84785
167,143.97015
168,140.47725
169,138.9099
170,140.58972
171,135.53687
172,136.209
173,135.8087
174,136.55966
175,137.27095
176,140.1884
177,142.26782
178,138.21011
179,138.8546
180,138.61075
181,139.38232
182,140.15166
183,140.39018
184,142.8304
185,143.4081
186,144.19511
187,142.85977
188,143.96053
189,145.06181
190,147.11531
191,146.61954
192,145.21877
193,146.23384
194,146.91833
195,148.02168
196,149.11317
197,159.72704
198,165.64334
199,165.76509
200,168.31316
201,167.54245
202,166.76419
203,167.44028
204,168.09525
205,168.96538
