,Original_Testing_Data,Predictions
0,2.0,113.247345
1,2.0,112.43423
2,1.0,111.76381
3,4.0,111.26923
4,3.0,114.415085
5,2.5,113.9631
6,2.0,113.557655
7,1.5,112.986496
8,1.0,112.61797
9,35.17599868774414,112.40331
10,42.42599964141846,139.64677
11,57.48600149154663,151.29701
12,59.78799915313721,150.5014
13,163.45999908447266,153.03333
14,97.80799961090088,151.9736
15,26.125999867916107,149.23183
16,26.58200025558472,149.5885
17,56.49799990653992,150.0058
18,74.87899923324585,151.0614
19,80.66399955749512,152.2415
20,138.38600158691406,154.72688
21,80.9399995803833,154.20691
22,59.87399959564209,151.63255
23,58.12999868392945,152.0569
24,77.91400051116943,152.54631
25,87.50400161743164,153.62698
26,3.0,154.83284
27,1.0,174.14
28,2.0,185.89996
29,1.6666666666666667,189.49265
30,1.3333333333333337,191.3052
31,1.0,191.97786
32,1.0,193.25397
33,2.0,192.2674
34,1.0,192.12434
35,6.0,191.8987
36,3.0,190.41722
37,3.0,191.13315
38,9.0,189.51857
39,4.0,186.82196
40,1.0,185.9587
41,6.999999999999999,187.45288
42,4.0,189.25961
43,3.0,191.22346
44,1.0,193.08344
45,6.0,193.08585
46,3.0,190.69061
47,2.0,190.3013
48,2.0,192.22772
49,1.0,194.24104
50,2.0,205.5449
51,6.0,206.50949
52,1.0,207.98976
53,3.0,211.40729
54,2.5,207.63515
55,2.0,206.61732
56,2.0,207.65387
57,2.333333333333333,208.67271
58,3.0,209.81418
59,2.0,214.23526
60,1.0,211.48697
61,2.0,209.98161
62,3.0,210.35701
63,3.0,211.05353
64,4.0,211.9331
65,13.999999999999998,165.88925
66,8.0,148.69604
67,9.0,146.13252
68,8.0,144.7345
69,5.0,143.96483
70,3.0,141.89055
71,12.0,142.9324
72,4.0,143.53603
73,9.0,144.62477
74,10.0,145.67659
75,4.0,147.56781
76,6.999999999999999,147.47852
77,10.0,146.27316
78,15.0,147.26093
79,6.999999999999999,147.99849
80,362.0,149.13412
81,351.0,175.88336
82,376.0,190.64561
83,293.0,194.97723
84,442.0,197.24333
85,300.0,194.64803
86,208.0,193.66078
87,230.00000000000003,194.93121
88,293.0,196.43484
89,353.0,198.11295
90,330.0,199.69247
91,380.0,201.39154
92,338.0,198.49109
93,274.0,197.27304
94,333.0,198.2244
95,471.0,199.49911
96,525.0,200.95003
97,1.0,202.33087
98,5.0,164.4775
99,3.0,148.02597
100,1.0,145.9814
101,1.0,144.72694
102,1.0,144.00226
103,1.0,141.93657
104,1.0,142.97688
105,3.0,143.57861
106,5.0,144.66547
107,2.0,145.71608
108,2.0,147.25218
109,1.0,146.71364
110,1.0,145.24246
111,2.0,146.2481
112,3.0,146.92366
113,3.0,148.02632
114,24.999999999999996,149.1178
115,34.0,149.26807
116,38.0,145.4676
117,22.0,145.1645
118,34.0,145.31854
119,22.0,145.12312
120,30.0,142.97551
121,24.999999999999996,144.27428
122,22.0,144.90709
123,32.0,146.14334
124,24.0,147.29373
125,38.0,148.4855
126,27.999999999999996,148.29832
127,15.0,146.51169
128,23.000000000000004,147.71979
129,41.0,148.43846
130,32.0,149.67557
131,44.0,150.86134
132,52.0,135.34692
133,55.0,125.52506
134,48.0,123.92629
135,60.0,127.906906
136,59.00000000000001,129.51976
137,52.99999999999999,125.58208
138,13.999999999999998,125.390945
139,32.0,124.526825
140,52.0,124.49436
141,73.0,124.54606
142,85.0,129.93808
143,54.0,131.4764
144,41.0,127.99053
145,77.0,127.82551
146,49.99999999999999,127.111465
147,70.0,127.15887
148,19.0,127.30346
149,21.0,160.91762
150,34.0,181.8548
151,21.0,186.94904
152,24.0,187.89491
153,16.0,185.90752
154,19.0,185.37775
155,22.0,187.00589
156,29.0,188.83012
157,20.0,190.8103
158,24.999999999999996,192.68658
159,26.0,192.58904
160,19.0,190.22282
161,20.0,189.3879
162,19.0,190.68872
163,35.0,192.27649
164,58.0,194.02605
165,3.0,195.70123
166,4.0,165.84785
